TotalDeaths,TotalCases
99813.0,1706464.0
23522.0,376669.0
3807.0,362342.0
26837.0,282480.0
36914.0,261184.0
32877.0,230158.0
28432.0,182942.0
8433.0,180830.0
4369.0,157814.0
4187.0,146498.0
7508.0,139511.0
3629.0,123979.0
6545.0,85711.0
399.0,74795.0
761.0,73997.0
7633.0,71105.0
1197.0,57705.0
9334.0,57455.0
28.0,47207.0
5856.0,45578.0
208.0,38059.0
3203.0,37355.0
522.0,36751.0
4125.0,34440.0
23.0,32343.0
253.0,31086.0
1342.0,31007.0
1913.0,30761.0
1606.0,24698.0
481.0,23615.0
1418.0,23165.0
172.0,22575.0
750.0,21981.0
1013.0,218670
644.0,21584.0
1210.0,18429.0
783.0,17967.0
281.0,16743.0
830.0,16581.0
643.0,16557.0
460.0,15073.0
886.0,14669.0
467.0,12628.0
220.0,11831.0
563.0,11428.0
239.0,11227.0
269.0,11225.0
310.0,11183.0
14.0,9223.0
317.0,90040.0
35.0,8969.0
609.0,8503.0
235.0,8364.0
37.0,8118.0
233.0,8068.0
115.0,7604.0
202.0,7556.0
91.0,7402.0
265.0,7147.0
102.0,7133.0
32.0,69640.0
261.0,6660.0
312.0,6628.0
171.0,5044.0
163.0,4632.0
51.0,4271.0
182.0,4189.0
110.0,3993.0
170.0,3976.0
499.0,3771.0
59.0,3760.0
13.0,3281.0
20.0,3275.0
36.0,3161.0
46.0,3100.0
57.0,3045.0
172.0,2882.0
14.0,2468.0
130.0,2443.0
30.0,2423.0
149.0,2416.0
68.0,2403.0
101.0,2244.0
14.0,2135.0
36.0,2042.0
116.0,2014.0
82.0,1947.0
65.0,1834.0
10.0,1804.0
66.0,16890.0
65.0,1639.0
20.0,1609.0
28.0,1513.0
21.0,1504.0
108.0,1469.0
16.0,1468.0
4.0,1395.0
52.0,1286.0
10.0,1206.0
7.0,1178.0
10.0,1177.0
26.0,1140.0
4.0,1066.0
31.0,1063.0
67.0,1059.0
22.0,1053.0
48.0,1051.0
12.0,1043.0
33.0,1029.0
62.0,951.0
10.0,951.0
17.0,937.0
7.0,920.0
11.0,865.0
52.0,832.0
8.0,806.0
22.0,787.0
4.0,772.0
51.0,763.0
42.0,735.0
12.0,732.0
13.0,712.0
9.0,711.0
6.0,701.0
61.0,687.0
42.0,666.0
1.0,652.0
6.0,611.0
2.0,586.0
45.0,559.0
9.0,556.0
21.0,509.0
16.0,487.0
1.0,456.0
7.0,441.0
3.0,423.0
3.0,390.0
13.0,386.0
1.0,353.
24.0,336.0
0.0,336.0
10.0,334.0
0.0,327.0
9.0,324.0
11.0,299.0
17.0,279.0
26.0,265.0
9.0,262.0
2.0,256.0
44.0,233.0
0.0,222.0
1.0,209.0
3.0,208.0
6.0,203.0
14.0,197.0
0.0,187.0
14.0,161.0
0.0,154.0
1.0,141.0
0.0,141.0
11.0,137.0
1.0,134.0
9.0,133.0
0.0,124.0
4.0,121.0
8.0,116.0
4.0,101.0
3.0,101.0
11.0,100.0
4.0,98.0
7.0,92.0
1.0,87.0
1.0,82.0
15.0,77.0
3.0,75.0
4.0,70.0
0.0,60.0
4.0,56.0
0.0,45.0
1.0,42.0
3.0,40.0
0.0,39.0
1.0,35.0
0.0,27.0
3.0,25.0
1.0,25.0
0.0,24.0
0.0,23.0
0.0,21.0
0.0,19.0
2.0,18.0
1.0,18.0
0.0,18.0
0.0,18.0
0.0,18.0
0.0,18.0
0.0,16.0
0.0,150
0.0,13.0
1.0,12.0
0.0,12.0
0.0,12.0
1.0,11.0
1.0,11.0
0.0,11.0
2.0,9.0
0.0,9.0
1.0,8.0
0.0,8.0
0.0,6.0
0.0,6.0
0.0,3.0
0.0,2.0
0.0,1.0
4634.0,82992
